assigned_file,n_points,gdb_name
/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb,1668,FPR01Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb,643,FPR02Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb,2056,FPR03Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb,325,FPR04Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR05Bldgs_SVI_Pop_Feb2025.gdb,103,FPR05Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR06Bldgs_SVI_Pop_Feb2025.gdb,41,FPR06Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb,760,FPR07Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb,558,FPR08Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb,709,FPR09Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb,900,FPR10Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR12Bldgs_SVI_Pop_Feb2025.gdb,126,FPR12Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb,424,FPR13Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb,1375,FPR14Bldgs_SVI_Pop_Feb2025.gdb
/home/grace/FloodFiles/FPR15Bldgs_SVI_Pop_Feb2025.gdb,312,FPR15Bldgs_SVI_Pop_Feb2025.gdb
