geometry,x,y,sample_id,assigned_file
POINT (1811213.7 7368150.646),1811213.7,7368150.646,0,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1811010.017 7141167.298),1811010.017,7141167.298,1,/home/grace/FloodFiles/FPR12Bldgs_SVI_Pop_Feb2025.gdb
POINT (1506089.769 7702488.553),1506089.769,7702488.553,2,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1425645.053 7555455.683),1425645.053,7555455.683,3,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1349813.641 7762349.823),1349813.641,7762349.823,4,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1745658.986 6955598.84),1745658.986,6955598.84,5,/home/grace/FloodFiles/FPR15Bldgs_SVI_Pop_Feb2025.gdb
POINT (1570634.195 7031176.255),1570634.195,7031176.255,6,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1678925.132 7196455.708),1678925.132,7196455.708,7,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (981407.7857 7546075.191),981407.7857,7546075.191,8,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1446695.465 7829855.154),1446695.465,7829855.154,9,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1731313.563 6967659.602),1731313.563,6967659.602,10,/home/grace/FloodFiles/FPR15Bldgs_SVI_Pop_Feb2025.gdb
POINT (1461303.724 7187262.61),1461303.724,7187262.61,11,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1543265.964 7314818.466),1543265.964,7314818.466,12,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1364643.85 7927063.624),1364643.85,7927063.624,13,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1272510.062 7856366.527),1272510.062,7856366.527,14,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1660544.668 7339782.044),1660544.668,7339782.044,15,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1747291.902 7717706.652),1747291.902,7717706.652,16,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1324264.761 7422683.454),1324264.761,7422683.454,17,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1910832.551 7221017.429),1910832.551,7221017.429,18,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1393653.041 7380122.231),1393653.041,7380122.231,19,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1418218.933 7921447.749),1418218.933,7921447.749,20,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1505860.911 7779726.601),1505860.911,7779726.601,21,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1700669.953 7635916.291),1700669.953,7635916.291,22,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1962328.528 7227468.726),1962328.528,7227468.726,23,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1552648.281 7592715.451),1552648.281,7592715.451,24,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1652537.473 7318103.857),1652537.473,7318103.857,25,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1547940.855 7060960.606),1547940.855,7060960.606,26,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1468526.022 7794154.689),1468526.022,7794154.689,27,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1873386.185 7554622.04),1873386.185,7554622.04,28,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1196968.147 7390540.72),1196968.147,7390540.72,29,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1230412.572 7751235.269),1230412.572,7751235.269,30,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1810988.344 7300512.612),1810988.344,7300512.612,31,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1483516.199 7812141.411),1483516.199,7812141.411,32,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1475854.989 7710938.651),1475854.989,7710938.651,33,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (2033123.251 7328908.311),2033123.251,7328908.311,34,/home/grace/FloodFiles/FPR05Bldgs_SVI_Pop_Feb2025.gdb
POINT (1434067.638 7529778.406),1434067.638,7529778.406,35,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1554021.094 7062981.333),1554021.094,7062981.333,36,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1112378.357 7464128.626),1112378.357,7464128.626,37,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1276899.206 7354408.987),1276899.206,7354408.987,38,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1821925.165 7427347.578),1821925.165,7427347.578,39,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (2078387.135 7376528.597),2078387.135,7376528.597,40,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
POINT (1535252.531 7668712.625),1535252.531,7668712.625,41,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1475126.373 7531741.019),1475126.373,7531741.019,42,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1447126.283 7851541.026),1447126.283,7851541.026,43,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1474589.217 7279683.806),1474589.217,7279683.806,44,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1741958.442 7133631.172),1741958.442,7133631.172,45,/home/grace/FloodFiles/FPR12Bldgs_SVI_Pop_Feb2025.gdb
POINT (1603546.136 7255338.861),1603546.136,7255338.861,46,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1336187.355 7941463.012),1336187.355,7941463.012,47,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1461351.802 7714699.502),1461351.802,7714699.502,48,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (2042261.502 7360072.682),2042261.502,7360072.682,49,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
POINT (1312799.133 7575807.566),1312799.133,7575807.566,50,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1441511.752 7809702.43),1441511.752,7809702.43,51,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (2050878.208 7297179.161),2050878.208,7297179.161,52,/home/grace/FloodFiles/FPR05Bldgs_SVI_Pop_Feb2025.gdb
POINT (1308943.748 7584314.55),1308943.748,7584314.55,53,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1418884.968 8013320.909),1418884.968,8013320.909,54,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1892001.348 7575268.323),1892001.348,7575268.323,55,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (2103886.742 7462266.948),2103886.742,7462266.948,56,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
POINT (1522767.178 7436466.387),1522767.178,7436466.387,57,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (2072493.308 7534950.226),2072493.308,7534950.226,58,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
