sample_id,geometry,building_area_m2,coverage_fraction,class,class_id
0,POINT (1811213.7 7368150.646),0.0,0.0,Unoccupied,1
15,POINT (1660544.668 7339782.044),0.0,0.0,Unoccupied,1
22,POINT (1700669.953 7635916.291),8714.247967733696,0.003364589950416102,Slightly Rural,3
25,POINT (1652537.473 7318103.857),0.0,0.0,Unoccupied,1
28,POINT (1873386.185 7554622.04),0.0,0.0,Unoccupied,1
31,POINT (1810988.344 7300512.612),0.0,0.0,Unoccupied,1
39,POINT (1821925.165 7427347.578),0.0,0.0,Unoccupied,1
55,POINT (1892001.348 7575268.323),15036.844078636648,0.005805757956427805,Suburban,4
59,POINT (1644727.481 7501836.151),0.0,0.0,Unoccupied,1
61,POINT (1730975.976 7518374.099),0.0,0.0,Unoccupied,1
68,POINT (1881475.641 7434061.533),6902.594242291434,0.002665106536491381,Slightly Rural,3
69,POINT (1633149.08 7552172.75),0.0,0.0,Unoccupied,1
73,POINT (1757642.239 7511625.296),0.0,0.0,Unoccupied,1
74,POINT (1988750.891 7510408.72),0.0,0.0,Unoccupied,1
80,POINT (1809695.045 7471069.113),0.0,0.0,Unoccupied,1
84,POINT (1943415.923 7512776.559),0.0,0.0,Unoccupied,1
85,POINT (1811657.014 7419638.026),0.0,0.0,Unoccupied,1
88,POINT (1862158.804 7398595.518),0.0,0.0,Unoccupied,1
91,POINT (1723958.988 7324389.435),0.0,0.0,Unoccupied,1
104,POINT (1746501.392 7394941.408),0.0,0.0,Unoccupied,1
115,POINT (1727150.961 7350642.021),0.0,0.0,Unoccupied,1
117,POINT (1844779.217 7483121.141),0.0,0.0,Unoccupied,1
119,POINT (1792464.661 7473995.562),0.0,0.0,Unoccupied,1
126,POINT (1853336.973 7544090.638),0.0,0.0,Unoccupied,1
128,POINT (1625819.553 7538444.042),0.0,0.0,Unoccupied,1
132,POINT (1876399.412 7504742.597),2375.8800233490438,0.0009173324054529424,Slightly Rural,3
139,POINT (1680369.483 7586198.155),0.0,0.0,Unoccupied,1
143,POINT (1854834.409 7509129.935),7519.946429622429,0.0029034675486007784,Slightly Rural,3
149,POINT (1853406.72 7341599.706),0.0,0.0,Unoccupied,1
156,POINT (1676575.316 7362489.627),0.0,0.0,Unoccupied,1
160,POINT (1981206.672 7360949.732),0.0,0.0,Unoccupied,1
161,POINT (1756392.569 7356604.952),0.0,0.0,Unoccupied,1
167,POINT (1947814.48 7510584.364),0.0,0.0,Unoccupied,1
171,POINT (1809798.32 7436909.707),0.0,0.0,Unoccupied,1
172,POINT (1832489.259 7524883.692),4516.993775689165,0.0017440210469163789,Slightly Rural,3
184,POINT (1679527.285 7611305.168),0.0,0.0,Unoccupied,1
185,POINT (1715362.119 7423325.428),0.0,0.0,Unoccupied,1
186,POINT (1822032.636 7371560.421),0.0,0.0,Unoccupied,1
190,POINT (1886534.55 7536604.924),11540.425049865413,0.004455783022250349,Slightly Rural,3
197,POINT (1765055.476 7591470.515),56539.04431562046,0.02182984705218806,Urban,5
203,POINT (1724823.718 7394821.468),0.0,0.0,Unoccupied,1
214,POINT (1866067.213 7310955.146),0.0,0.0,Unoccupied,1
224,POINT (1877877.633 7484891.145),9729.071711957295,0.0037564155886009604,Slightly Rural,3
227,POINT (1732864.176 7658623.281),23181.844627281378,0.008950560249588941,Suburban,4
229,POINT (1626100.806 7379105.477),0.0,0.0,Unoccupied,1
230,POINT (1886736.084 7403271.243),1832.2834876350018,0.000707448609637555,Rural,2
236,POINT (1986177.745 7376803.591),18410.549308219757,0.007108352827855781,Suburban,4
239,POINT (1901846.805 7393022.01),0.0,0.0,Unoccupied,1
241,POINT (1780368.952 7539093.381),2326.7668046143876,0.0008983696856865244,Slightly Rural,3
245,POINT (1929159.311 7312104.762),0.0,0.0,Unoccupied,1
247,POINT (1677385.008 7511592.24),0.0,0.0,Unoccupied,1
248,POINT (1645736.75 7374026.084),0.0,0.0,Unoccupied,1
249,POINT (1642968.822 7376297.377),0.0,0.0,Unoccupied,1
250,POINT (1640250.317 7349234.808),0.0,0.0,Unoccupied,1
252,POINT (1895235.794 7531042.954),3854.05441980447,0.0014880587306265595,Slightly Rural,3
253,POINT (1937649.008 7518782.048),0.0,0.0,Unoccupied,1
256,POINT (1822292.615 7528935.794),4313.6351180257725,0.0016655038302342488,Slightly Rural,3
257,POINT (1681570.491 7679631.338),0.0,0.0,Unoccupied,1
264,POINT (1740163.177 7287318.203),0.0,0.0,Unoccupied,1
266,POINT (1861496.104 7475360.379),0.0,0.0,Unoccupied,1
268,POINT (1705447.148 7544318.076),0.0,0.0,Unoccupied,1
272,POINT (1956634.062 7344928.907),0.0,0.0,Unoccupied,1
277,POINT (1771070.776 7522482.402),0.0,0.0,Unoccupied,1
282,POINT (1718354.056 7390220.89),0.0,0.0,Unoccupied,1
291,POINT (1733876.545 7429130.151),0.0,0.0,Unoccupied,1
292,POINT (1686719.057 7581016.466),0.0,0.0,Unoccupied,1
294,POINT (1987657.346 7322171.89),0.0,0.0,Unoccupied,1
296,POINT (1652818.601 7499050.336),0.0,0.0,Unoccupied,1
304,POINT (1949967.408 7488529.207),0.0,0.0,Unoccupied,1
305,POINT (1631778.093 7407972.934),0.0,0.0,Unoccupied,1
314,POINT (1701444.48 7320589.347),0.0,0.0,Unoccupied,1
321,POINT (1787671.771 7354254.129),0.0,0.0,Unoccupied,1
325,POINT (1796365.305 7328790.312),0.0,0.0,Unoccupied,1
330,POINT (1972709.335 7591599.416),0.0,0.0,Unoccupied,1
342,POINT (1834905.694 7480104.73),0.0,0.0,Unoccupied,1
350,POINT (1848867.655 7541084.187),2489.4603812286223,0.0009611860267982711,Slightly Rural,3
352,POINT (2019574.586 7332994.116),1796.7746592522942,0.0006937385743516784,Rural,2
359,POINT (1783941.195 7416399.811),0.0,0.0,Unoccupied,1
363,POINT (1822995.678 7565716.405),11505.034858594594,0.004442118793009456,Slightly Rural,3
365,POINT (1726849.83 7466228.296),0.0,0.0,Unoccupied,1
377,POINT (1885256.659 7344680.289),0.0,0.0,Unoccupied,1
400,POINT (1795815.063 7509258.533),0.0,0.0,Unoccupied,1
405,POINT (1896395.489 7461506.25),221.81362222598722,8.56427183355723e-05,Unoccupied,1
406,POINT (1833090.517 7485174.726),0.0,0.0,Unoccupied,1
412,POINT (1634706.323 7409152.624),0.0,0.0,Unoccupied,1
423,POINT (2009963.498 7403559.724),0.0,0.0,Unoccupied,1
424,POINT (1988158.872 7587385.662),0.0,0.0,Unoccupied,1
428,POINT (2010645.687 7481088.976),0.0,0.0,Unoccupied,1
429,POINT (1676333.401 7655065.31),0.0,0.0,Unoccupied,1
430,POINT (1694872.355 7697037.727),8404.036413703796,0.003244816599800351,Slightly Rural,3
431,POINT (1923482.207 7514961.837),0.0,0.0,Unoccupied,1
439,POINT (1975536.699 7461088.995),0.0,0.0,Unoccupied,1
441,POINT (1902972.531 7483886.948),0.0,0.0,Unoccupied,1
449,POINT (2015461.946 7372348.692),0.0,0.0,Unoccupied,1
451,POINT (1819613.892 7408959.579),0.0,0.0,Unoccupied,1
452,POINT (1780542.172 7451828.68),0.0,0.0,Unoccupied,1
457,POINT (1634354.826 7651758.909),0.0,0.0,Unoccupied,1
483,POINT (1993195.429 7536034.436),0.0,0.0,Unoccupied,1
486,POINT (1679277.25 7634900.545),0.0,0.0,Unoccupied,1
496,POINT (1923971.226 7458390.455),2867.0579390592475,0.0011069772589370316,Slightly Rural,3
497,POINT (1784894.766 7427399.099),0.0,0.0,Unoccupied,1
502,POINT (1667588.315 7641774.793),0.0,0.0,Unoccupied,1
504,POINT (1786560.617 7577828.894),2020.3632798556382,0.0007800666233921575,Rural,2
507,POINT (2002668.56 7544241.977),0.0,0.0,Unoccupied,1
511,POINT (1850001.034 7586298.756),6914.7643787217885,0.002669805452436897,Slightly Rural,3
517,POINT (2012485.636 7336055.495),19735.805817745593,0.007620037226806134,Suburban,4
518,POINT (1831357.831 7548460.185),16479.061099867467,0.00636260106141168,Suburban,4
532,POINT (2007427.122 7501360.32),0.0,0.0,Unoccupied,1
535,POINT (1963368.537 7295238.645),0.0,0.0,Unoccupied,1
537,POINT (1908006.659 7480844.685),0.0,0.0,Unoccupied,1
538,POINT (1664108.054 7454268.729),0.0,0.0,Unoccupied,1
543,POINT (1685942.612 7356478.031),0.0,0.0,Unoccupied,1
548,POINT (1761882.646 7390255.174),0.0,0.0,Unoccupied,1
549,POINT (1926936.005 7458358.731),2262.7409402110247,0.00087364916123784,Slightly Rural,3
557,POINT (1857602.679 7533414.271),0.0,0.0,Unoccupied,1
563,POINT (1766133.091 7311960.233),0.0,0.0,Unoccupied,1
566,POINT (1967633.024 7401669.084),0.0,0.0,Unoccupied,1
567,POINT (1679072.117 7456621.516),0.0,0.0,Unoccupied,1
572,POINT (1891234.04 7357753.483),0.0,0.0,Unoccupied,1
578,POINT (1816346.999 7373251.903),0.0,0.0,Unoccupied,1
579,POINT (1937667.654 7526854.904),0.0,0.0,Unoccupied,1
580,POINT (1720212.577 7504690.972),0.0,0.0,Unoccupied,1
584,POINT (1768976.605 7555760.923),0.0,0.0,Unoccupied,1
587,POINT (1983104.439 7445919.388),0.0,0.0,Unoccupied,1
588,POINT (2000745.562 7493712.845),0.0,0.0,Unoccupied,1
589,POINT (1870296.783 7336132.961),0.0,0.0,Unoccupied,1
594,POINT (2018229.325 7364298.364),0.0,0.0,Unoccupied,1
598,POINT (1876409.037 7468444.341),800.5000586529691,0.00030907480055926585,Rural,2
603,POINT (1673363.534 7600358.846),0.0,0.0,Unoccupied,1
607,POINT (1668382.048 7380414.733),0.0,0.0,Unoccupied,1
616,POINT (1702484.682 7542234.364),0.0,0.0,Unoccupied,1
619,POINT (1849749.59 7302465.204),0.0,0.0,Unoccupied,1
