sample_id,building_count,flr_area,flr_dens,fp_area,fp_dens,avg_floors,total_ee_mj,total_ec_kgco2e,avg_eei_mj_m2,avg_eci_kgco2e_m2,geometry
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (1446695.465 7829855.154)
1,1,225.39023623481458,8.70236567246537e-05,225.39023623481458,8.70236567246537e-05,1.0,1126951.181174073,67617.07087044437,5000.0,300.0,POINT (1505860.911 7779726.601)
2,11,4377.800146091402,0.001690278086073325,2249.3730257241623,0.0008684877805992516,1.946231281350951,21889000.730457008,929967.356678705,4999.999999999999,212.42800622339982,POINT (1483516.199 7812141.411)
3,6,717.8146027009482,0.00027714976753612426,717.8146027009482,0.00027714976753612426,1.0,3589073.013504741,192792.88818964537,5000.0,268.58312364253425,POINT (1447126.283 7851541.026)
4,8,2026.5513846508006,0.0007824558640108565,2026.5513846508006,0.0007824558640108565,1.0,10132756.923254004,491321.2082016879,5000.0,242.44201845705902,POINT (1335131.076 7829039.082)
5,7,1927.6629951931834,0.0007442748433864845,1927.6629951931834,0.0007442748433864845,1.0,9638314.975965917,405570.1815910416,5000.0,210.3947539597796,POINT (1585120.821 7780792.997)
6,7,1468.1795985051592,0.0005668673121108235,1468.1795985051592,0.0005668673121108235,1.0,7340897.9925257955,440453.87955154775,5000.0,300.0,POINT (1371400.162 7985719.832)
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (1386258.03 8005700.151)
8,6,751.9372848185384,0.0002903246087569836,751.9372848185384,0.0002903246087569836,1.0,3759686.424092692,211332.35328632864,5000.0,281.0505045475016,POINT (1493104.339 7806403.563)
9,7,1955.1939846145992,0.0007549046178289024,1955.1939846145992,0.0007549046178289024,1.0,9775969.923072997,586558.1953843798,5000.000000000001,300.00000000000006,POINT (1357667.503 7959256.847)
10,18,3332.957556979831,0.0012868621070802697,3332.957556979831,0.0012868621070802697,1.0,16664787.784899153,999887.2670939493,4999.999999999999,299.99999999999994,POINT (1668676.354 7743664.065)
11,2,732.9471707796472,0.0002829924847356005,732.9471707796472,0.0002829924847356005,1.0,3664735.853898236,219884.15123389417,5000.0,300.0,POINT (1343075.821 7830895.267)
12,11,2772.2325891863684,0.0010703649866665704,2772.2325891863684,0.0010703649866665704,1.0,13861162.945931843,831669.7767559106,5000.0,300.00000000000006,POINT (1278523.204 7908424.643)
13,2,370.5490870383229,0.00014306980235142912,370.5490870383229,0.00014306980235142912,1.0,1852745.4351916146,111164.72611149689,5000.0,300.00000000000006,POINT (1570528.076 7747356.833)
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (1299632.042 7967350.257)
15,10,3445.8703537791043,0.0013304579816515337,2856.0135479213995,0.0011027129956789215,1.2065315153308713,17229351.76889552,832572.2273437947,5000.0,241.6144955745965,POINT (1413558.45 7944244.84)
16,2,482.8867056689257,0.00018644359939022292,482.8867056689257,0.00018644359939022292,1.0,2414433.5283446284,144866.01170067769,5000.0,299.99999999999994,POINT (1514696.217 7817230.817)
17,1,170.534378940752,6.584369181471975e-05,170.534378940752,6.584369181471975e-05,1.0,852671.8947037599,51160.3136822256,5000.0,300.0,POINT (1421876.184 7728843.933)
18,2,524.7035131656709,0.00020258915902807018,524.7035131656709,0.00020258915902807018,1.0,2623517.565828354,104940.70263313418,4999.999999999999,200.0,POINT (1617162.175 7768341.938)
19,3,704.8653752678015,0.00027215004287272927,704.8653752678015,0.00027215004287272927,1.0,3524326.876339007,211459.6125803404,5000.0,299.99999999999994,POINT (1496671.538 8011621.703)
20,1,570.9873759784159,0.00022045945836575347,570.9873759784159,0.00022045945836575347,1.0,2854936.8798920796,171296.21279352478,5000.0,300.0,POINT (1707162.805 7752757.533)
21,15,2869.302546305955,0.0011078439066400654,2869.302546305955,0.0011078439066400654,1.0,14346512.731529774,707340.0464699928,5000.0,246.519854583006,POINT (1410137.214 7928568.659)
22,2,192.42344100288133,7.429510592537746e-05,192.42344100288133,7.429510592537746e-05,1.0,962117.2050144067,57727.032300864405,5000.0,300.0,POINT (1651280.068 7730169.205)
23,6,2295.6142221013542,0.0008863416063340705,2295.6142221013542,0.0008863416063340705,1.0,11478071.11050677,688684.2666304063,4999.999999999999,300.0,POINT (1325042.808 7981923.567)
24,3,956.7855818023036,0.0003694169783961593,956.7855818023036,0.0003694169783961593,1.0,4783927.909011518,287035.6745406911,5000.0,300.0,POINT (1467526.032 7985485.728)
25,57,38052.95481247708,0.014692327992015553,38052.95481247708,0.014692327992015553,1.0,190264774.0623855,11415886.443743125,5000.000000000003,300.0,POINT (1441249.59 8022095.735)
26,1,297.4796656797264,0.00011485754104142751,297.4796656797264,0.00011485754104142751,1.0,1487398.328398632,89243.89970391792,5000.0,300.0,POINT (1295843.995 7843065.422)
27,47,9688.910989943775,0.0037409094471429175,9688.910989943775,0.0037409094471429175,1.0,49167555.04471975,2494699.0766691556,5074.621399221365,257.4798219591893,POINT (1627066.641 7761276.595)
28,11,2301.4618171969614,0.0008885993754227667,2301.4618171969614,0.0008885993754227667,1.0,11507309.085984806,499455.9616335162,4999.999999999999,217.01683595247422,POINT (1290223.563 7953751.376)
29,1,168.8475676921338,6.51924103505746e-05,168.8475676921338,6.51924103505746e-05,1.0,844237.8384606689,33769.513538426756,5000.0,199.99999999999997,POINT (1306949.775 7896544.104)
30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (1479789.571 7911259.44)
31,5,868.4809396226597,0.00033532236544128047,868.4809396226597,0.00033532236544128047,1.0,4342404.698113298,260544.2818867979,5000.0,300.0,POINT (1273950.702 8008353.338)
32,1012,201974.84087520957,0.07798292203318544,187224.44085433506,0.07228776074576125,1.0787845857814615,1068071278.0951285,53159962.98551618,5288.140213240905,263.20091529796593,POINT (1273986.197 7995559.911)
33,30,5417.076423521379,0.002091544900110997,5417.076423521379,0.002091544900110997,1.0,27085382.11760689,1205322.2316247576,4999.999999999999,222.50419550869765,POINT (1629022.085 7779863.182)
34,7,952.040849940936,0.00036758502718278014,952.040849940936,0.00036758502718278014,1.0,4760204.2497046795,285612.2549822808,4999.999999999999,299.99999999999994,POINT (1714488.29 7744373.218)
35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (1469081.586 7766137.41)
36,2,365.91247554262947,0.00014127959664461917,365.91247554262947,0.00014127959664461917,1.0,1829562.377713147,109773.74266278883,4999.999999999999,300.0,POINT (1350676.26 7830675.081)
37,3,4218.915470308678,0.0016289323697942985,4218.915470308678,0.0016289323697942985,1.0,27422950.55700641,2531349.282185207,6500.000000000001,600.0000000000001,POINT (1239380.282 7998892.834)
38,3,594.2406658193092,0.0002294376037665355,594.2406658193092,0.0002294376037665355,1.0,2971203.3290965464,178272.1997457928,5000.0,300.00000000000006,POINT (1475520.726 7768394.46)
39,9,1604.3533938335524,0.0006194443084240333,1604.3533938335524,0.0006194443084240333,1.0,8434639.214258414,522593.24265913095,5257.344950730653,325.7344950730653,POINT (1361382.479 7807163.24)
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (1633055.465 7769190.029)
41,1,259.1767133209986,0.00010006868845717424,259.1767133209986,0.00010006868845717424,1.0,1295883.566604993,77753.01399629957,5000.0,300.0,POINT (1469997.94 7911945.987)
42,4,425.6883387093904,0.00016435918644204343,425.6883387093904,0.00016435918644204343,1.0,2128441.6935469517,127706.5016128171,4999.999999999999,299.99999999999994,POINT (1402694.651 7855539.897)
43,1,314.18328235309497,0.00012130684349448069,314.18328235309497,0.00012130684349448069,1.0,1570916.4117654748,94254.9847059285,5000.0,300.0,POINT (1296324.885 7988668.027)
44,2,142.85585651436674,5.515695456062692e-05,142.85585651436674,5.515695456062692e-05,1.0,714279.2825718337,42856.756954310025,5000.0,300.00000000000006,POINT (1447373.866 7977694.307)
45,1,96.26651485983518,3.71687091827408e-05,96.26651485983518,3.71687091827408e-05,1.0,481332.57429917593,28879.954457950556,5000.0,300.0,POINT (1494556.891 7810679.79)
46,4,722.7908486138199,0.00027907110682452203,722.7908486138199,0.00027907110682452203,1.0,3613954.2430691,216837.25458414597,5000.000000000001,300.0,POINT (1585165.811 7769940.649)
47,5,5016.767332693919,0.0019369846960583508,2207.451697049909,0.0008523018651091551,2.272651011751898,25083836.663469598,1020286.9561827627,5000.0,203.37537870923862,POINT (1407948.536 7875124.359)
48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (1481222.626 7987042.801)
49,3,1134.1609707220625,0.00043790199893038403,1134.1609707220625,0.00043790199893038403,1.0,5670804.853610313,340248.29121661873,5000.0,300.0,POINT (1303327.469 7829307.568)
50,8,889.8826684305059,0.0003435856191305299,889.8826684305059,0.0003435856191305299,1.0,4449413.342152529,177976.53368610117,5000.0,200.0,POINT (1326549.574 7857311.871)
