x_m,y_m,lon,lat
1811213.7,7368150.646,-96.75475558,30.3925879
1811010.017,7141167.298,-96.82476353,28.34879548
1506089.769,7702488.553,-99.93441507,33.44290591
1425645.053,7555455.683,-100.7895007,32.11709009
1349813.641,7762349.823,-101.626877,33.97200583
1745658.986,6955598.84,-97.53391773,26.68971389
1570634.195,7031176.255,-99.2859309,27.39482038
1678925.132,7196455.708,-98.16357621,28.87397079
981407.7857,7546075.191,-105.4970112,31.91913267
1446695.465,7829855.154,-100.5812941,34.58877908
1731313.563,6967659.602,-97.67534012,26.80144343
1461303.724,7187262.61,-100.3968684,28.80388094
1543265.964,7314818.466,-99.55096774,29.95271401
1364643.85,7927063.624,-101.4902752,35.45807795
1272510.062,7856366.527,-102.4869078,34.80590791
1660544.668,7339782.044,-98.3300016,30.16736598
1747291.902,7717706.652,-97.33321977,33.55311308
1324264.761,7422683.454,-101.8423455,30.91137626
1910832.551,7221017.429,-95.77539108,29.03800359
1393653.041,7380122.231,-101.1104929,30.53663534
1418218.933,7921447.749,-100.8999452,35.41265313
1505860.911,7779726.601,-99.93640186,34.13843531
1700669.953,7635916.291,-97.85295592,32.82611988
1962328.528,7227468.726,-95.24362193,29.07726193
1552648.281,7592715.451,-99.43897562,32.45360879
1652537.473,7318103.857,-98.41650784,29.97326087
1547940.855,7060960.606,-99.51402277,27.66470178
1468526.022,7794154.689,-100.3420286,34.26797321
1873386.185,7554622.04,-96.03734791,32.05181111
1196968.147,7390540.72,-103.1666561,30.59620048
1230412.572,7751235.269,-102.9166374,33.84986082
1810988.344,7300512.612,-96.77763185,29.78391125
1483516.199,7812141.411,-100.1794484,34.43032425
1475854.989,7710938.651,-100.2602584,33.51874608
2033123.251,7328908.311,-94.46426205,29.96029598
1434067.638,7529778.406,-100.698353,31.8865187
1554021.094,7062981.333,-99.4522859,27.68267709
1112378.357,7464128.626,-104.0782285,31.23328291
1276899.206,7354408.987,-102.323743,30.28888032
1821925.165,7427347.578,-96.62430608,30.92232952
2078387.135,7376528.597,-93.96822665,30.36717042
1535252.531,7668712.625,-99.62157579,33.13831038
1475126.373,7531741.019,-100.2635154,31.90578674
1447126.283,7851541.026,-100.5778308,34.78421068
1474589.217,7279683.806,-100.2628652,29.63684041
1741958.442,7133631.172,-97.53119096,28.29674436
1603546.136,7255338.861,-98.93134034,29.41333842
1336187.355,7941463.012,-101.8061179,35.58411063
1461351.802,7714699.502,-100.4167386,33.55220769
2042261.502,7360072.682,-94.35304028,30.23637733
1312799.133,7575807.566,-101.9914015,32.28748161
1441511.752,7809702.43,-100.636558,34.40695678
2050878.208,7297179.161,-94.2971855,29.6668254
1308943.748,7584314.55,-102.034068,32.36339987
1418884.968,8013320.909,-100.900846,36.24160887
1892001.348,7575268.323,-95.83172305,32.23134402
2103886.742,7462266.948,-93.65163395,31.12489088
1522767.178,7436466.387,-99.76098759,31.04837478
2072493.308,7534950.226,-93.93918473,31.7938315
1644727.481,7501836.151,-98.47122947,31.6279248
1957435.373,7230737.318,-95.29247171,29.10856804
1730975.976,7518374.099,-97.55656063,31.76280939
1360636.692,7327337.946,-101.4480054,30.05802965
2052511.635,7429270.035,-94.20881669,30.85368891
2019949.873,7292942.327,-94.61897331,29.64265787
1924422.913,7732132.625,-95.41833591,33.63072073
1312125.59,7406153.053,-101.9665022,30.76073024
1654548.928,7221329.872,-98.41006123,29.10147055
1881475.641,7434061.533,-95.99781845,30.96486442
1633149.08,7552172.75,-98.58673049,32.08228047
1235878.768,7380656.289,-102.757652,30.51662747
1537619.622,7390006.012,-99.60679625,30.62980631
1122312.05,7463992.437,-103.9737542,31.23530946
1757642.239,7511625.296,-97.2763284,31.6964876
1988750.891,7510408.72,-94.83645779,31.61144695
1982770.776,7702845.886,-94.80417084,33.34410018
1183355.602,7394628.992,-103.3101008,30.62940049
1626296.309,6970770.569,-98.73025949,26.84494446
1790747.793,7194668.907,-97.0168065,28.83593251
1331494.076,7512964.705,-101.7818051,31.72486707
1809695.045,7471069.113,-96.73897064,31.31896011
1335131.076,7829039.082,-101.79763,34.57062413
1324819.096,7487649.293,-101.8479055,31.49608238
1408324.643,7632700.385,-100.9806666,32.81103745
1943415.923,7512776.559,-95.31375199,31.65088447
1811657.014,7419638.026,-96.73429881,30.85574115
1595754.649,7157197.322,-99.02071273,28.5297091
1708261.784,7016565.085,-97.89761218,27.24713191
1862158.804,7398595.518,-96.21304067,30.65194792
1485561.176,7264714.183,-100.1491581,29.50220075
1589369.222,7094689.697,-99.09126333,27.96660836
1723958.988,7324389.435,-97.67389065,30.01848885
1633183.572,7160222.455,-98.63757545,28.5534061
1532142.84,7070188.657,-99.67389299,27.74848044
1591687.374,7570581.582,-99.02506376,32.25197142
1472430.835,7992113.458,-100.3055351,36.05281709
1852260.158,7179356.105,-96.39119466,28.68148419
1433856.981,7953643.319,-100.7302031,35.70407064
1553097.807,7466710.834,-99.44096815,31.31959426
1094080.463,7355252.707,-104.2268324,30.24776769
1982056.236,7625135.838,-94.8507327,32.64565713
1652695.319,7022455.024,-98.45763956,27.3085534
1585120.821,7780792.997,-99.07622898,34.14485593
1352012.611,7601538.514,-101.5782245,32.52472214
1746501.392,7394941.408,-97.42277654,30.64899884
1164068.82,7443700.12,-103.5279339,31.06551196
1634217.873,7282328.65,-98.61132243,29.65334589
1615492.154,7213726.328,-98.81266638,29.03738471
1149665.088,7442214.242,-103.6785735,31.04792581
1104210.716,7428991.181,-104.1502254,30.9145184
1360039.82,7406976.392,-101.4651631,30.77482418
1280441.399,7778250.547,-102.3818562,34.10387656
1515970.988,7394861.129,-99.83299473,30.67400306
1076706.998,7422289.966,-104.4355144,30.84464793
1371400.162,7985719.832,-101.424208,35.98799089
1727150.961,7350642.021,-97.63492212,30.25419191
1822723.636,7230982.173,-96.6777261,29.15478937
1844779.217,7483121.141,-96.36562708,31.41753987
1912233.991,7203116.646,-95.76802927,28.87634124
1792464.661,7473995.562,-96.91944963,31.34972929
1409120.842,7511855.602,-100.9609279,31.72354205
1250142.729,7649587.95,-102.6766767,32.93950293
1171658.79,7546475.833,-103.4822235,31.99217361
1386258.03,8005700.151,-101.2622005,36.16993936
1096597.224,7272688.715,-104.1682888,29.50568833
1344216.269,7334058.582,-101.6196126,30.11648622
1853336.973,7544090.638,-96.25374006,31.96337239
1378558.465,7708629.402,-101.3086562,33.49174639
1625819.553,7538444.042,-98.66627592,31.95955468
1417252.734,7790986.079,-100.8989159,34.23684251
1184592.109,7239085.152,-103.2494573,29.22971713
1493104.339,7806403.563,-100.0750276,34.37873183
1876399.412,7504742.597,-96.02440375,31.60223151
1254673.7,7492648.717,-102.5888381,31.52841564
1376431.523,7281744.228,-101.2784421,29.64924601
1357667.503,7959256.847,-101.57211,35.74756051
1893774.159,7686782.166,-95.76756664,33.23373084
1572697.187,7562598.887,-99.22757719,32.18147994
1223967.208,7413628.612,-102.8909545,30.81059317
1680369.483,7586198.155,-98.07934341,32.38206867
1585359.194,7386492.124,-99.10812429,30.59568026
1513871.779,7178190.286,-99.85785837,28.72266407
1893164.441,7759670.555,-95.74400181,33.88973095
1854834.409,7509129.935,-96.25042875,31.64846379
2085080.805,7423200.912,-93.87163752,30.78336363
1410029.262,7428577.448,-100.9438148,30.97413868
1287879.321,7546036.21,-102.2499872,32.01530093
1235554.582,7647672.443,-102.8323653,32.91899888
1831891.357,7646238.448,-96.44619397,32.88858376
1853406.72,7341599.706,-96.32427477,30.14179401
1372076.694,7379586.965,-101.3357076,30.52967027
1218542.963,7374099.576,-102.9367529,30.45360963
1717054.787,7254092.765,-97.76035251,29.38683366
1331866.992,7380283.031,-101.7556064,30.53088268
1668676.354,7743664.065,-98.17620521,33.80115593
1149427.845,7481146.928,-103.6947039,31.3980597
1676575.316,7362489.627,-98.15935017,30.36948566
1351396.319,7547685.635,-101.5766157,32.04002312
1545392,7023314,-99.5414,27.32507
951230.1029,7472306.886,-105.7755557,31.24227397
1981206.672,7360949.732,-94.9875113,30.2707248
1756392.569,7356604.952,-97.32907358,30.30187274
1687716.729,7116522.9,-98.08753488,28.15219116
1669961.423,7132701.446,-98.26581391,28.30068864
1553538.872,7115235.596,-99.45456383,28.15402085
1452571.821,7244453.631,-100.4890112,29.31884858
1307806.028,7430323.675,-102.0163155,30.97755074
1947814.48,7510584.364,-95.26831193,31.62948963
1130914.411,7433619.63,-103.8721458,30.96485916
1936535.204,7244813.948,-95.50143042,29.24310403
1740878.685,7112331.832,-97.54702088,28.10494991
1809798.32,7436909.707,-96.74844823,31.01162374
1832489.259,7524883.692,-96.48109729,31.79676743
1201333.59,7293976.412,-103.0928678,29.72824633
1321994.541,7923393.296,-101.9590425,35.41898934
1275226.339,7515584.417,-102.3772214,31.73892622
1177555.976,7480172.205,-103.3981398,31.39740187
1801813.125,7194130.268,-96.90348406,28.82834169
1520879.7,7265946.56,-99.78429259,29.51320411
1393011.315,7710423.782,-101.1531258,33.50934821
2010377.858,7654592.873,-94.53315126,32.89826867
1764399.322,7065924.498,-97.31903483,27.68154074
1601631.807,7150426.406,-98.96125982,28.46819279
1779595.246,7741900.243,-96.97790192,33.76341163
1679527.285,7611305.168,-98.08368077,32.60813388
1715362.119,7423325.428,-97.74219458,30.91054753
1822032.636,7371560.421,-96.64092823,30.42036522
1430906.229,7335429.913,-100.7184746,30.13707216
2035788.538,7300878.525,-94.45121312,29.70700284
1431526.632,7396527.713,-100.7161349,30.68711992
1886534.55,7536604.924,-95.90500428,31.88546489
1155346.607,7497162.957,-103.637917,31.54388524
1036591.225,7390744.492,-104.8409072,30.54581622
2051197.973,7488248.771,-94.19013959,31.38440816
2058871.036,7496684.604,-94.10467965,31.45657563
2048496.339,7594501.793,-94.15951872,32.3406073
1188521.828,7474296.085,-103.2808083,31.34751889
1765055.476,7591470.515,-97.1764632,32.41317488
1289642.114,7689398.793,-102.2623725,33.30571975
1432250.476,7244046.829,-100.6985021,29.31420267
1660026.386,7180460.043,-98.35995007,28.73251253
1943303.284,7768659.447,-95.19767259,33.9521421
1343075.821,7830895.267,-101.7113324,34.58848153
1724823.718,7394821.468,-97.64937573,30.65226299
1808984.142,7181286.488,-96.83371992,28.71081009
1956896.665,7696406.633,-95.08534076,33.296826
1565131.168,7558013.929,-99.30827041,32.14066776
1628691.01,6956213.726,-98.70789497,26.71321069
1559416.726,7789923.78,-99.35459741,34.22873945
1669730.749,7072164.829,-98.27777819,27.75481905
1123200.436,7381426.227,-103.9335539,30.4928961
1931717.898,7250592.294,-95.54862624,29.29686923
1610136.344,7376862.713,-98.8503008,30.50694434
1709717.884,6992767.677,-97.88750186,27.03206511
1866067.213,7310955.146,-96.20362493,29.86217596
2022051.444,7462857.639,-94.51010258,31.16956939
1701449.346,7057299.046,-97.95878391,27.61584886
1743876.399,7171204.482,-97.50297925,28.63498364
1557884.074,7186731.424,-99.40638895,28.79831931
1072585.997,7510152.92,-104.5161953,31.63328153
1701965.137,7084399.676,-97.94846893,27.86021672
1603010.556,7755681.722,-98.88483813,33.91722023
1353462.81,7304941.925,-101.5193396,29.85552295
1774134.088,7257866.859,-97.17061982,29.40904623
1877877.633,7484891.145,-96.01634782,31.42321059
1740384.762,7258357.891,-97.5187143,29.42076136
1803394.013,7726885.61,-96.72560878,33.62217361
1732864.176,7658623.281,-97.50312568,33.0243866
1044907.043,7431391.339,-104.772444,30.91459378
1626100.806,7379105.477,-98.68338578,30.5255314
1886736.084,7403271.243,-95.95447983,30.68618353
1279440.038,8028785.201,-102.4529433,36.36213967
1538314.613,7102673.57,-99.61011497,28.04131686
1470044.423,7439052.155,-100.3145628,31.07148604
1971301.962,7750670.477,-94.90374488,33.77903505
1809053.865,7284270.48,-96.80252577,29.63820692
