x,y
1811213.699813012,7368150.645572807
1811010.0174242943,7141167.297900173
1506089.7694657454,7702488.552908013
1425645.0533746297,7555455.682889966
1349813.640550606,7762349.823462255
1745658.9864682138,6955598.839516994
1570634.1951692873,7031176.255292136
1678925.1323852963,7196455.707887303
981407.7856717542,7546075.190990198
1446695.4650585297,7829855.154410896
1731313.562584209,6967659.60205242
1461303.7243408705,7187262.60984044
1543265.9639997836,7314818.46637997
1364643.849853401,7927063.624327175
1272510.0624130103,7856366.527092475
1660544.6678826786,7339782.043849369
1747291.9020448364,7717706.651805623
1324264.760521382,7422683.454110997
1910832.551101033,7221017.429374443
1393653.0405790205,7380122.231087016
1418218.932861573,7921447.748869894
1505860.9113799764,7779726.601003181
1700669.9526614589,7635916.291046774
1962328.527998961,7227468.72611909
1552648.2808360602,7592715.450566562
1652537.4731105454,7318103.8570106765
1547940.8550172453,7060960.605884502
1468526.0218726317,7794154.688833384
1873386.1854834203,7554622.039731139
1196968.14656184,7390540.719734434
1230412.5716679762,7751235.268503097
1810988.3443948468,7300512.611680623
1483516.199112573,7812141.411173543
1475854.9893834866,7710938.650909957
2033123.2507306356,7328908.310622183
1434067.6379492893,7529778.405988066
1554021.094184858,7062981.332567565
1112378.3565398564,7464128.626300847
1276899.2062382095,7354408.9873964265
1821925.1648358996,7427347.578012532
2078387.1353895122,7376528.597110799
1535252.5309968702,7668712.624870484
1475126.373167302,7531741.019116911
1447126.283231338,7851541.0255245315
1474589.216602568,7279683.805925516
1741958.4421002814,7133631.171657778
1603546.136302819,7255338.861198122
1336187.3553891391,7941463.0123448875
1461351.801873181,7714699.502487924
2042261.5024426319,7360072.681919093
1312799.132901164,7575807.565717747
1441511.7515294375,7809702.430103038
2050878.2076127103,7297179.16106546
1308943.7475624438,7584314.549913071
1418884.9676432125,8013320.908916812
1892001.347715123,7575268.322585348
2103886.7418377283,7462266.9479764225
1522767.178120767,7436466.386998418
2072493.3082019512,7534950.226396672
1644727.481230434,7501836.151192858
1957435.3729794587,7230737.317580378
1730975.9762616456,7518374.098653814
1360636.6917739285,7327337.945637976
2052511.6345229198,7429270.035042776
2019949.8734255536,7292942.326714973
1924422.9133285878,7732132.624626222
1312125.5897372556,7406153.053478186
1654548.9284484675,7221329.871794468
1881475.6411663122,7434061.532569634
1633149.0796233625,7552172.75025267
1235878.768200121,7380656.289076143
1537619.6223036265,7390006.0118421195
1122312.0501202934,7463992.437370963
1757642.2390181932,7511625.295869232
1988750.8914157925,7510408.720246354
1982770.776325548,7702845.886087123
1183355.6016344945,7394628.991919791
1626296.309406498,6970770.568779752
1790747.793046812,7194668.907296469
1331494.0755438455,7512964.70497945
1809695.0445112363,7471069.112714031
1335131.0760607522,7829039.0818869425
1324819.0961224819,7487649.293280758
1408324.6428470984,7632700.384818363
1943415.9230775118,7512776.559324704
1811657.014008407,7419638.025623483
1595754.648597736,7157197.321583086
1708261.784158168,7016565.085146032
1862158.8037173855,7398595.517530998
1485561.1761058231,7264714.182560176
1589369.222366414,7094689.697151286
1723958.9877802478,7324389.434877756
1633183.5717235818,7160222.4548723465
1532142.8404653622,7070188.657120768
1591687.3738646647,7570581.582496034
1472430.8350023841,7992113.458024112
1852260.1576644913,7179356.105103428
1433856.98102302,7953643.319238197
1553097.8065019946,7466710.834250788
1094080.4627840333,7355252.707402141
1982056.2363984422,7625135.838090921
1652695.318534263,7022455.023539756
1585120.8212921622,7780792.997049268
1352012.610949371,7601538.514040981
1746501.392101506,7394941.407903733
1164068.8200406344,7443700.1198726995
1634217.8733218918,7282328.649875767
1615492.153769505,7213726.32838687
1149665.088372928,7442214.242016264
1104210.7162489782,7428991.181221744
1360039.8204873123,7406976.391884804
1280441.3988927389,7778250.547189356
1515970.9880221891,7394861.129112493
1076706.9983291696,7422289.965556921
1371400.1624614946,7985719.8316355115
1727150.960671086,7350642.021448777
1822723.6361971104,7230982.173235286
1844779.2172595866,7483121.141476824
1912233.9906203856,7203116.646332072
1792464.6611562609,7473995.561962949
1409120.842184525,7511855.601624856
1250142.7289036175,7649587.949986247
1171658.7902524138,7546475.833093043
1386258.030264341,8005700.151091634
1096597.2235330152,7272688.714500979
1344216.2688448455,7334058.582069797
1853336.9733141535,7544090.638485152
1378558.4647728412,7708629.401686618
1625819.5527324516,7538444.041624536
1417252.7342868363,7790986.079092992
1184592.1092344052,7239085.151674564
1493104.339350318,7806403.5634365445
1876399.4122274122,7504742.596540938
1254673.700163099,7492648.716742856
1376431.523069507,7281744.228155982
1357667.50255905,7959256.846592515
1893774.1586474702,7686782.166445092
1572697.187047768,7562598.887484656
1223967.2075422308,7413628.612145542
1680369.482872799,7586198.1545028025
1585359.1937914223,7386492.124332894
1513871.779308856,7178190.286108871
1893164.4405423529,7759670.554725108
1854834.4086746117,7509129.935001649
2085080.8052163722,7423200.911988029
1410029.2624247246,7428577.448008552
1287879.3208515106,7546036.20992638
1235554.581592191,7647672.443452741
1831891.3571054148,7646238.448066466
1853406.7199568297,7341599.706242346
1372076.6942670876,7379586.9649218805
1218542.9632290825,7374099.576136204
1717054.7868167092,7254092.764595272
1331866.9920551747,7380283.030654716
1668676.3541726433,7743664.064798026
1149427.8447685326,7481146.927585218
1676575.3157998957,7362489.626807397
1351396.318977061,7547685.6353829205
1545391.8580495403,7023314.012297072
951230.1028910166,7472306.88587334
1981206.6719091663,7360949.731819639
1756392.5694757926,7356604.951724865
1687716.7290703037,7116522.900210657
1669961.4227473089,7132701.446041699
1553538.871567187,7115235.595829868
1452571.8214565078,7244453.630514431
1307806.0275426963,7430323.675408352
1947814.4800097349,7510584.364113295
1130914.4110026974,7433619.630017934
1936535.204091737,7244813.947595518
1740878.6848119018,7112331.831774553
1809798.3197992642,7436909.707027705
1832489.2588584537,7524883.692006604
1170105.4426080268,7219157.648498941
1201333.5900400875,7293976.411630751
1321994.540752735,7923393.29553102
1275226.3388734306,7515584.417239119
1177555.9759286535,7480172.204791827
1801813.1254251143,7194130.268273668
1520879.6997325583,7265946.559988076
1393011.3151761112,7710423.781941546
2010377.8575032568,7654592.873126416
1764399.3219385545,7065924.4979350185
1601631.80654298,7150426.406283723
1779595.2463650908,7741900.243119167
1679527.2853195912,7611305.168005376
1715362.1187562144,7423325.427793815
1462589.8594728569,7714980.803580117
1822032.6360620689,7371560.420525091
1430906.229376943,7335429.913092722
2035788.5384500192,7300878.524796861
1431526.6324984683,7396527.712597159
1886534.54958549,7536604.924458463
1155346.607476261,7497162.956929327
1036591.2252543671,7390744.491822994
2051197.9727884966,7488248.770615309
2058871.0361178382,7496684.603859769
2048496.3389422772,7594501.792952634
1188521.8276262921,7474296.085215335
1765055.4764509187,7591470.514770387
1289642.114060768,7689398.793228476
1432250.4759769896,7244046.829395142
1660026.3858704376,7180460.042640888
1943303.283520399,7768659.447361494
1343075.821406911,7830895.266640277
1724823.718083685,7394821.467651756
1808984.1423835186,7181286.487678384
1956896.665019731,7696406.633129412
1565131.1681673594,7558013.928531004
1628691.0097399484,6956213.726122939
1559416.7263731402,7789923.780398154
1669730.7487381736,7072164.828947251
1123200.435533818,7381426.227461422
1931717.898325245,7250592.293552407
1610136.3442345434,7376862.713190183
1709717.8842269424,6992767.676980762
1866067.212952154,7310955.146257282
2022051.4442359991,7462857.638685742
1701449.3463307335,7057299.046373367
1743876.3990238328,7171204.481661451
1557884.0740816589,7186731.423902026
1072585.996863128,7510152.920447703
1701965.1371907,7084399.675558302
1603010.5563303682,7755681.721917205
1353462.8100062087,7304941.925126355
1774134.08793089,7257866.859378766
1877877.633185464,7484891.145236857
1740384.762363296,7258357.891241061
1803394.0134154689,7726885.609723486
1732864.1762311729,7658623.280969681
1044907.0434053497,7431391.339377304
1626100.8062802327,7379105.477107231
1886736.0838391825,7403271.2431038795
1279440.0376696351,8028785.201037312
1538314.6125132008,7102673.5699837115
1470044.4231306284,7439052.155493939
1971301.9622383725,7750670.477159469
1809053.8649322353,7284270.4802418025
1986177.7447316854,7376803.591184379
1777663.0041910722,7272038.266419742
1309175.397377632,7396882.881474893
1901846.8052455643,7393022.010435285
1458106.4798344134,7658652.25752466
1780368.9521473418,7539093.380990276
1278523.204009765,7908424.643072494
1477009.505289591,7390165.02557276
1317621.129981062,7804734.643522428
1929159.3112033056,7312104.7624357585
1017246.8892358355,7433291.1417029835
1677385.0075252927,7511592.240328191
1645736.7500222204,7374026.084062263
1642968.8215220245,7376297.376639981
1640250.3165881517,7349234.80791652
1967184.0931091323,7662367.68689133
1895235.7943464715,7531042.953719775
1937649.0075370544,7518782.047675266
1413563.7865952593,7580068.145594493
1368245.999009695,7922016.316299843
1822292.615204288,7528935.793815253
1681570.4912461247,7679631.33785631
1363954.184063421,7655819.844549751
1447415.234782653,7641555.55474696
1880022.3074628033,7714366.717073608
1439254.8751828414,7626572.592547883
1871392.8310665218,7633246.354670267
1570528.0758459703,7747356.832930399
1740163.176893856,7287318.203447213
1299632.0423491965,7967350.256893957
1861496.1038889084,7475360.379269192
1567165.2848271844,7725243.402489675
1705447.1481779525,7544318.076448352
1106346.4431290422,7474653.7171599725
1340305.8175115085,7937268.46606947
1266661.2942472124,7561655.051796215
1956634.0616597517,7344928.90704354
1492485.2099361569,7446816.8323781295
1143101.322308457,7280398.189360045
1566752.9143928413,7198278.7458696095
2039917.9867478132,7546292.9901579665
1771070.7755830649,7522482.401651184
1276009.7470851976,7970549.638657157
1454712.1745364289,7579611.657121844
1326277.668798275,7945807.784164123
1079990.1909899055,7421276.640932449
1718354.055774422,7390220.889825562
1324555.3195936377,7481877.679976967
1413558.4501786854,7944244.839628525
1002454.3836354957,7460450.623666457
1464444.6054085414,7432800.292785655
1406381.0008422425,7493544.832358357
1372630.6834263322,7544249.629041425
1102953.2560481527,7360719.437950749
2045446.1090969765,7659730.820686735
1733876.545127551,7429130.150534548
1686719.057357024,7581016.466430803
1026984.8136607902,7439577.965771835
1987657.3458487226,7322171.89045572
1480230.3558520575,8016694.28942237
1652818.6006544114,7499050.336062633
1345005.4221567744,7868900.297826674
2082922.5971835621,7420621.56486081
1514696.2170506255,7817230.816646272
1559543.241558285,7750565.204404438
1583428.8108784417,7169943.090487983
899772.2503618837,7539292.340782882
1449992.208849241,7490956.086440565
1949967.4076869325,7488529.207261361
1631778.0928278808,7407972.934151427
1447730.4413197122,7720771.293950395
1404028.062420597,7804187.531371649
1464143.7621746324,7793664.20397671
1915352.1747318427,7618585.568401432
1092168.5650696568,7390165.200004979
1776755.8076660463,7180318.817327391
1648826.6580513443,7137707.463064969
2042763.5736225,7415030.933274064
1701444.4800716015,7320589.346857784
1827347.2725451603,7270238.367189264
1624385.9557820354,6937281.297466016
1569332.0741678649,7087651.264790165
1409261.8273492712,7418594.199684633
1516333.5640572882,7624725.223919753
1601747.1375702806,7569528.011116234
1787671.7713444647,7354254.129229483
2062669.5751227078,7439806.892801192
1965984.6719600672,7662698.0608530585
1963620.3021624004,7228194.802448145
1857940.6904867238,7617082.578588509
1597963.4043349535,7419233.550686269
1796365.30471503,7328790.31214083
1679538.8960240616,7187519.701511342
1214329.880914247,7525831.800875026
1202946.2513811998,7248116.912264107
1555906.1843029638,7411458.914551282
1972709.3345601326,7591599.416006138
1963601.8493568422,7637083.61110902
1447224.2657680777,7353745.193214741
1348045.9973843,7660576.181003406
1615436.352597577,6966963.312616677
1192927.6497043353,7371952.0860284
