sample_id,building_count,building_area_m2,coverage_fraction,total_ee_mj,total_ec_kgco2e,avg_eei_mj_m2,avg_eci_kgco2e_m2
0,10,3529.277837506527,0.0013626617911572853,17646389.187532634,1050993.5944619118,5000.0,297.79281848902275
1,2,986.0106879191975,0.00038070085495152406,4930053.439595987,295803.20637575927,5000.0,300.0
2,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1440.0867602615442,0.00055602060662538,7200433.801307721,432026.0280784633,5000.0,300.0
5,0,0.0,0.0,0.0,0.0,0.0,0.0
6,29,5212.3036317539045,0.002012481683198812,26061518.158769526,1480933.267876688,5000.000000000001,284.12260154122373
7,28,3936.40451680433,0.0015198542808343852,20569884.241443653,1021380.123848873,5225.55142735757,259.4703159923347
8,0,0.0,0.0,0.0,0.0,0.0,0.0
9,24,5332.342626814595,0.002058828998301011,26661713.134072978,1396100.3814233874,5000.000000000001,261.8174560657184
10,11,2457.1822964792186,0.0009487233886029104,12285911.482396092,501168.4276642973,5000.0,203.96062122960842
11,5,1300.1386161795465,0.0005019863261113114,6500693.080897733,390041.5848538639,5000.0,300.0
12,0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0,0.0,0.0
14,6,1383.4924372929395,0.0005341694163659534,6917462.186464698,415047.73118788184,5000.000000000001,300.0
15,0,0.0,0.0,0.0,0.0,0.0,0.0
16,20,3954.631614103859,0.0015268918024456968,19773158.070519306,965558.2031971016,5000.000000000003,244.1588237330425
17,17,3132.766995090498,0.001209568099014973,15663834.975452492,707692.0688138764,5000.000000000001,225.90000147567085
18,23,4507.5186519272465,0.0017403626811794454,22537593.259636234,1220172.4794661403,5000.0,270.6971559495245
19,0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0,0.0,0.0
21,501,112606.43888811267,0.04347758912047831,617265224.7892336,36261586.456671126,5481.615712957204,322.0205417622801
22,0,0.0,0.0,0.0,0.0,0.0,0.0
23,22,4062.8317312420077,0.0015686681012272814,20314158.65621003,1090739.9189151917,4999.999999999998,268.46790393205686
24,17,3594.0711568757843,0.0013876786316248857,17970355.784378927,1030862.3067156137,5000.000000000002,286.82300981812244
25,0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,1326.741580012232,0.0005122577878707378,6633707.900061159,265348.3160024464,5000.0,200.00000000000003
27,0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0.0,0.0,0.0,0.0,0.0,0.0
29,35,8360.755799434832,0.003228105861208061,41803778.99717416,2366057.8459734665,5000.0,282.99568875500546
30,0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,98.07452043412067,3.7866784037629206e-05,490372.60217060335,29422.356130236203,5000.0,300.0
33,0,0.0,0.0,0.0,0.0,0.0,0.0
34,18,3936.5155460455244,0.0015198971494640718,19682577.730227623,1030576.0874005037,5000.0,261.7990645142458
35,0,0.0,0.0,0.0,0.0,0.0,0.0
36,12,2264.88440752611,0.0008744767585949596,11324422.037630549,624390.2558662231,4999.999999999999,275.6830564029679
37,51,6991.933538992024,0.002699600631790143,34959667.69496013,1582768.0850703148,5000.000000000002,226.370584938153
38,0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,216.33991928997037,8.352930981675608e-05,1081699.5964498518,64901.97578699111,5000.0,300.0
41,0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0.0,0.0,0.0,0.0,0.0,0.0
45,25,4295.08045077193,0.0016583398331565036,21475402.253859647,1204949.9351316295,4999.999999999999,280.54187783958054
46,0,0.0,0.0,0.0,0.0,0.0,0.0
47,3,595.5859384864408,0.00022995701644714316,2977929.6924322033,119117.18769728814,4999.999999999999,199.99999999999997
48,0,0.0,0.0,0.0,0.0,0.0,0.0
49,6,1118.4649072342136,0.0004318417149371063,5592324.536171068,335539.4721702641,5000.000000000001,300.00000000000006
50,2,690.4713992589603,0.00026659249766570754,3452356.9962948016,207141.4197776881,5000.0,300.0
51,0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,0.0,0.0,0.0,0.0,0.0,0.0
53,9,1409.8348154849575,0.0005443402654470329,7049174.077424787,345461.37667130266,5000.0,245.0367751433846
54,0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,0.0,0.0,0.0,0.0,0.0,0.0
57,54,10246.871006677487,0.003956339013984182,51234355.03338744,2189087.185228503,5000.0,213.63469724581873
58,31,6785.8428597793445,0.0026200285756906483,34150119.060780056,1915328.6584832827,5032.553769140849,282.2536121246939
59,0,0.0,0.0,0.0,0.0,0.0,0.0
60,0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,0.0,0.0,0.0,0.0,0.0,0.0
63,0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0.0,0.0,0.0,0.0,0.0,0.0
65,12,2584.8566196760253,0.0009980187203796433,12924283.098380126,709167.2615091768,5000.0,274.3545835815299
66,0,0.0,0.0,0.0,0.0,0.0,0.0
67,4,253.92397258522342,9.80405939208276e-05,1269619.8629261171,75950.53849865508,5000.0,299.10739708974944
68,804,131158.73750952794,0.0506406716641308,666857359.4392827,29415140.01098629,5084.353296636751,224.27129575602575
69,1,578.5201368114123,0.00022336787358315734,2892600.6840570616,173556.04104342367,5000.0,300.0
70,15,4241.981620648674,0.0016378382602298357,21209908.10324337,1272594.4861946022,5000.0,300.0
71,0,0.0,0.0,0.0,0.0,0.0,0.0
72,23,6529.168808702701,0.0025209261705281226,32645844.043513507,1305833.7617405404,5000.0,200.00000000000003
73,7,1294.2557744533608,0.0004997149482224675,6592647.850970786,370306.85456858936,5093.775110839465,286.1156673030811
74,0,0.0,0.0,0.0,0.0,0.0,0.0
75,0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,0.0,0.0,0.0,0.0,0.0,0.0
77,0,0.0,0.0,0.0,0.0,0.0,0.0
78,20,4226.678670353323,0.0016319297580887327,21133393.351766612,886068.4436407802,5000.0,209.63704902760225
79,0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,0.0,0.0,0.0,0.0,0.0,0.0
81,0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,0.0,0.0,0.0,0.0,0.0,0.0
83,7,2360.6186842666584,0.0009114399694909852,11803093.421333292,655086.5714400978,5000.0,277.506306209554
84,5,1376.9718080846847,0.0005316517873535912,6884859.040423423,275394.3616169369,5000.0,200.0
85,21,3887.5318086357847,0.001500984422716695,19872319.68830322,1073292.748270342,5111.808897398278,276.0859077438604
86,15,2482.748856653091,0.0009585946926725479,12413744.283265457,578622.4361986067,5000.000000000001,233.05717557700456
87,42,7497.564190569383,0.0028948257177893845,37487820.95284692,1589111.2965000442,5000.000000000001,211.95034228568082
88,10,2141.9350790895783,0.0008270057574942706,10709675.395447891,642580.5237268733,5000.0,299.99999999999994
89,0,0.0,0.0,0.0,0.0,0.0,0.0
90,0,0.0,0.0,0.0,0.0,0.0,0.0
91,0,0.0,0.0,0.0,0.0,0.0,0.0
92,5,993.6431947399908,0.0003836477823101223,4968215.973699954,198728.63894799817,5000.0,200.0
93,0,0.0,0.0,0.0,0.0,0.0,0.0
94,13,3467.2064079875518,0.0013386958782361938,17336032.039937757,983061.2833967332,4999.999999999999,283.5312259264441
95,0,0.0,0.0,0.0,0.0,0.0,0.0
96,0,0.0,0.0,0.0,0.0,0.0,0.0
97,0,0.0,0.0,0.0,0.0,0.0,0.0
98,0,0.0,0.0,0.0,0.0,0.0,0.0
99,1,264.5120045104698,0.00010212865590188156,1322560.0225523491,79353.60135314094,5000.0,300.0
100,0,0.0,0.0,0.0,0.0,0.0,0.0
101,0,0.0,0.0,0.0,0.0,0.0,0.0
102,0,0.0,0.0,0.0,0.0,0.0,0.0
103,0,0.0,0.0,0.0,0.0,0.0,0.0
104,6,868.6517601536926,0.0003353883196170357,4343258.800768463,260595.52804610776,5000.0,299.99999999999994
105,0,0.0,0.0,0.0,0.0,0.0,0.0
106,0,0.0,0.0,0.0,0.0,0.0,0.0
107,44,7704.73857280748,0.0029748161939662115,38523692.8640374,1760263.3979315967,5000.000000000001,228.46503892346678
108,0,0.0,0.0,0.0,0.0,0.0,0.0
109,22,3640.0010212783063,0.0014054122514122614,18200005.10639153,819898.8625357964,5000.0,225.24687705935364
110,5,1145.9294918873081,0.00044244585035513784,5729647.4594365405,343778.84756619245,5000.0,300.0
111,1,64.86156597956264,2.5043190631152405e-05,324307.8298978132,12972.313195912528,5000.0,200.0
112,0,0.0,0.0,0.0,0.0,0.0,0.0
113,10,2715.4237959465027,0.0010484309889724666,13577118.979732512,543084.7591893006,4999.999999999999,200.00000000000003
114,0,0.0,0.0,0.0,0.0,0.0,0.0
115,34,7162.117028241191,0.0027653088443375315,35810585.14120595,2148635.1084723575,4999.999999999999,300.0
116,0,0.0,0.0,0.0,0.0,0.0,0.0
117,8,6866.784158354667,0.0026512801857858093,34333920.791773334,1941328.045555584,5000.0,282.71283919614865
118,0,0.0,0.0,0.0,0.0,0.0,0.0
119,41,23359.39879946254,0.009019114298726304,136206776.69261524,9755094.897739636,5830.9196166362435,417.6089882058131
120,0,0.0,0.0,0.0,0.0,0.0,0.0
121,12,2792.962458345601,0.0010783688338952525,13964812.291728005,586939.8751188925,5000.0,210.14957553943054
122,0,0.0,0.0,0.0,0.0,0.0,0.0
123,242,46339.691988476654,0.01789185510294292,232581298.42263743,11447598.55727939,5019.051453351777,247.03656986166584
124,0,0.0,0.0,0.0,0.0,0.0,0.0
